PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40087107,Delivering Gd-Labeled IgG Antibodies Into the Mouse Brain Following Focused,2025 Mar 13,"Cressey P, Thanou M","Institute of Pharmaceutical Science, School of Cancer and Pharmaceutical, Institute of Pharmaceutical Science, School of Cancer and Pharmaceutical",N/A
40087098,The effectiveness of hand therapy for breast cancer survivors experiencing,2025 Mar 13,"Weimer W, Sleven M","Torrance Memorial Medical Center, Torrance, CA, USA. Electronic address:, Torrance Memorial Medical Center, Torrance, CA, USA.",N/A
40087092,Measurements of tenofovir-diphosphate and emtricitabine-triphosphate,2025 Mar 8,N/A,N/A,N/A
40087028,Drug-drug interactions in metastatic hormone-sensitive prostate cancer (mHSPC):,2025 Mar 14,"Ibanez C, Montesa A, Lopez-Campos F, Rios E, Moretones C, Conde-Estevez D","Department of Pharmacy, Institut Catala d'Oncologia, Barcelona, Spain., Department of Pharmacy, Hospital Clinico Universitario Santiago de Compostela,, Medical Oncology Department, Hospital Regional de Malaga, Spain., Department of Radiation Oncology, Hospital Universitario Ramon y Cajal, Madrid,, Medical Department Oncology, Bayer Hispania S.L, Spain., Medical Department Oncology, Bayer Hispania S.L, Spain.",N/A
40086918,"Best practice offloading treatments for diabetic foot ulcer healing, remission,",2025 Mar,"Lazzarini PA, van Netten JJ","Australian Centre for Health Services Innovation & Centre for Healthcare, Australian Centre for Health Services Innovation & Centre for Healthcare",N/A
40086878,From fat to fear: how lipid powers cancer spread.,2025 Mar 14,N/A,N/A,N/A
40086820,"Optimization of Adcitmer, a Monomethyl-Auristatin E bearing antibody-drug",2025 Mar 13,"Durand L, Esnault C, Gaboriaud P, Leblond V, Baltus CB, Boursin F, Aubrey N, Houben R, Schrama D, Guyetant S, Desgranges A, Viaud-Massuard MC, Gouilleux-Gruart V, Touze A","Team ""Biologie des Infections a Polyomavirus"", UMR1282, Tours, France., Team ""Biologie des Infections a Polyomavirus"", UMR1282, Tours, France., Team ""Biologie des Infections a Polyomavirus"", UMR1282, Tours, France., Team ""Biologie des Infections a Polyomavirus"", UMR1282, Tours, France., McSAF, TOURS, France., Team BIOMAP, UMR1282, Tours, Centre-Val de Loire, France., Team BIOMAP, UMR1282, Tours, Centre-Val de Loire, France., Department of Dermatology, Venereology and Allergology, University Hospital, Department of Dermatology, Venereology and Allergology, University Hospital, Team ""Biologie des Infections a Polyomavirus"", UMR1282, Tours, France., Department of Pathology, CHRU Hopitaux de Tours, Tours, Centre-Val de Loire,, McSAF, TOURS, France., McSAF, TOURS, France., CEPR, Inserm U1100, Tours, France.",N/A
40086819,Protein arginine methyltransferase 6 enhances immune checkpoint blockade efficacy,2025 Mar 13,"Duan J, Lu T, Xue J, Sun Y, Gao L, Zhang Y","Department of General Surgery, First Affiliated Hospital of Soochow University,, Department of Clinical Laboratory, Shanghai Sixth People's Hospital, Shanghai,, Department of Clinical Laboratory, Shanghai 6th Peoples Hospital Affiliated to, Department of Clinical Laboratory, Shanghai 6th Peoples Hospital Affiliated to, Department of Clinical Laboratory, Shanghai 6th Peoples Hospital Affiliated to, Department of Clinical Laboratory, Shanghai 6th Peoples Hospital Affiliated to",N/A
40086760,Disulfiram-loaded electrospun fibers with antimicrobial and antitumoral,2025 Mar 12,"Gonzalez-Prada I, Barcelos A, Dion M, Lapoujade C, Rousseau A, Concheiro A, Garcion E, Alvarez-Lorenzo C","Departamento de Farmacologia, Farmacia y Tecnologia Farmaceutica, I+D Farma, Inserm UMR 1307, CNRS UMR 6075, Universite de Nantes, CRCI2NA, Universite, Inserm UMR 1307, CNRS UMR 6075, Universite de Nantes, CRCI2NA, Universite, Inserm UMR 1307, CNRS UMR 6075, Universite de Nantes, CRCI2NA, Universite, Inserm UMR 1307, CNRS UMR 6075, Universite de Nantes, CRCI2NA, Universite, Departamento de Farmacologia, Farmacia y Tecnologia Farmaceutica, I+D Farma, Inserm UMR 1307, CNRS UMR 6075, Universite de Nantes, CRCI2NA, Universite, Departamento de Farmacologia, Farmacia y Tecnologia Farmaceutica, I+D Farma",N/A
40086733,Redefining Clinical Trial Strategic Design to Support Drug Approval in Medical,2025 Mar 12,"Antonarelli G, Perez-Garcia JM, Gion M, Hurvitz S, Curigliano G, Llombart-Cussac A, Cortes J","Division of New Drugs and Early Drug Development for Innovative Therapies,, Medica Scientia Innovation Research (MEDSIR), Barcelona (Spain) and Ridgewood, Hospital Universitario Ramon y Cajal, Madrid, Spain., Fred Hutchinson Cancer Center, University of Washington School of Medicine,, Division of New Drugs and Early Drug Development for Innovative Therapies,, Medica Scientia Innovation Research (MEDSIR), Barcelona (Spain) and Ridgewood, Medica Scientia Innovation Research (MEDSIR), Barcelona (Spain) and Ridgewood",N/A
40086583,Sildenafil Abrogates Radiation-induced Hepatotoxicity In Animal model: The impact,2025 Mar 12,N/A,N/A,N/A
40086555,Design and development of drug delivery nanocarriers based on liquid-liquid phase,2025 Mar 12,Li X,"Pharmaceutical Department, The Affiliated Taian Central Hospital of Qingdao",N/A
40086544,The fucoidan delivery system enhanced the anti-cervical cancer effect of caffeic,2025 Mar 12,"Gao X, Xiao J, Long L","Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao, Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao, Oncology Center I Department, Qingdao Hiser Hospital Affiliated of Qingdao",N/A
40086539,"Hortensin 4, main type 1 ribosome inactivating protein from red mountain spinach",2025 Mar 12,N/A,N/A,N/A
40086472,Delphi consensus-based recommendations of tools and outcomes for the assessment,2025 Mar 12,Aquilano M,"Centro di Radiochirurgia Cyberknife IFCA- Casa di Cura Villa Ulivella e Glicini,",N/A
40086453,Prevention and control of HPV-related cancers in people living with HIV.,2025 Mar 11,N/A,N/A,N/A
40086436,Effective targeting of PDGFRA-altered high-grade glioma with avapritinib.,2025 Mar 4,"Mayr L, Neyazi S, Trissal M, Labelle J, Eder SK, Marques JG, de Biagi-Junior CAO, Lo Cascio C, Hack O, Nascimento A, Nguyen CM, Castellani S, Rozowsky JS, Groves A, Panditharatna E, Cruzeiro GAV, Haase RD, Tabatabai K, Baumgartner A, Dubois F, Bandopadhayay P, Ligon K, Filbin MG","Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood, Department of Pediatric Oncology, Dana-Farber/Boston Children's Cancer and Blood",N/A
40086424,Deciphering the mechanisms of PARP inhibitor resistance in prostate cancer:,2025 Mar 13,N/A,N/A,N/A
40086338,Advancements in bone malignancy research through next-generation sequencing,2025 Mar 12,Subramanian P,"Department of Radiation Oncology, Apollo Proton Cancer Centre, Chennai, Tamil",N/A
40086336,H(2)O(2)/O(2) Self-Supplied Nanoplateform for amplifying oxidative stress to,2025 Mar 10,N/A,N/A,N/A
